pico [[859, 50]]
hopes [[596, 1], [861, 25], [924, 1], [1374, 23], [2030, 33], [2279, 46], [2280, 65], [3016, 68], [3131, 10], [3846, 15], [4105, 52], [4155, 50], [4337, 1], [4368, 69], [4519, 1], [4797, 4], [6601, 39], [7067, 6], [7422, 34], [7505, 24], [8006, 12], [8539, 1], [9722, 15]]
quarter [[396, 30], [568, 1], [574, 39], [1574, 32], [1591, 45], [1872, 52], [2785, 43], [2802, 40], [3052, 41], [4975, 9], [5658, 44], [6104, 63], [6261, 42], [6703, 6], [7786, 16], [7805, 1], [7885, 38], [8263, 24], [8688, 57], [8695, 1], [8718, 61], [8754, 49], [8816, 55], [9154, 14]]
grew [[744, 19], [1535, 55], [2503, 58], [2504, 51], [2552, 62], [3133, 17], [3471, 13], [3490, 20], [3496, 1], [3503, 1], [3538, 29], [3834, 21], [4291, 22], [4349, 7], [4798, 19], [4841, 16], [4976, 52], [5030, 1], [5063, 19], [5463, 9], [7203, 12], [9238, 38], [9243, 45], [9275, 43]]
raft [[1609, 43], [1613, 56], [1618, 4], [1623, 69], [1643, 52], [1653, 4], [1663, 36], [1671, 11], [1675, 11], [1679, 52], [1683, 55], [1693, 44], [1700, 22], [1703, 15], [1707, 13], [1738, 50], [1759, 1], [1764, 58], [1779, 11], [1839, 9], [1840, 46], [1871, 25], [1874, 34], [2254, 4]]
spaniard [[5675, 49], [7706, 39], [7712, 24], [7714, 45], [7718, 60], [7726, 41], [7738, 1], [7751, 8], [7815, 59], [7817, 23], [7837, 47], [7840, 32], [7877, 48], [7892, 21], [7892, 43], [7945, 20], [8010, 47], [8011, 64], [8054, 5], [8062, 61], [8083, 39], [8088, 10], [8098, 39], [8201, 29]]
north [[1335, 1], [1335, 37], [1346, 9], [1348, 25], [2096, 1], [3308, 27], [3309, 1], [3513, 39], [4636, 28], [4646, 1], [4647, 42], [4666, 56], [4676, 1], [4677, 49], [4678, 52], [5000, 5], [6221, 42], [6248, 1], [6248, 61], [6254, 25], [7046, 25], [7787, 26], [8561, 46], [9459, 29]]
power [[426, 49], [3001, 28], [3068, 1], [3071, 65], [3072, 48], [3082, 51], [4118, 41], [5165, 18], [5664, 10], [5773, 18], [5846, 34], [6171, 28], [6209, 11], [6491, 57], [7089, 68], [7127, 26], [7134, 8], [7700, 37], [7909, 33], [8666, 22], [8870, 38], [9005, 58], [9015, 27], [9290, 68]]
continued [[208, 17], [221, 65], [249, 31], [351, 63], [381, 12], [483, 12], [1150, 44], [1217, 44], [2324, 4], [2713, 30], [2859, 48], [3154, 10], [4721, 1], [4737, 50], [5398, 24], [5495, 20], [5718, 23], [5988, 43], [7215, 3], [7786, 42], [8499, 40], [9240, 65], [9411, 64], [9676, 6]]
accordingly [[688, 62], [1171, 60], [1309, 22], [1389, 59], [1876, 47], [3331, 57], [3453, 56], [3461, 57], [3540, 1], [3699, 29], [4524, 20], [4548, 5], [5383, 1], [5604, 1], [5868, 1], [6092, 20], [6912, 12], [7369, 33], [8426, 28], [8533, 19], [8952, 3], [8971, 33], [9319, 47], [9442, 1]]
death [[323, 15], [349, 40], [1294, 27], [1389, 24], [1536, 67], [2173, 42], [2174, 64], [2306, 5], [2307, 36], [2747, 40], [3006, 50], [4348, 65], [5184, 37], [5656, 50], [5693, 29], [6476, 68], [6537, 18], [6916, 19], [7773, 41], [8477, 54], [8501, 30], [8721, 16], [9120, 7], [9205, 1]]
quantity [[1772, 55], [2076, 15], [2271, 1], [2468, 51], [2628, 61], [3168, 38], [3347, 47], [3478, 39], [3543, 12], [3552, 39], [3579, 62], [3818, 62], [3888, 56], [3923, 53], [4100, 29], [4105, 6], [4106, 1], [5575, 63], [6210, 43], [6694, 1], [6964, 61], [7527, 51], [8067, 26], [9427, 27]]
devoured [[741, 61], [1369, 47], [1523, 63], [1783, 30], [2275, 47], [2306, 45], [2574, 59], [3090, 57], [3342, 32], [4807, 38], [5414, 1], [6033, 24], [6269, 18], [6516, 15], [7913, 7], [7957, 23], [7978, 27], [8101, 7], [8213, 7], [8646, 1], [9466, 11], [9717, 10], [9785, 9], [9798, 28]]
comfort [[1391, 44], [1391, 65], [1490, 1], [1522, 40], [1578, 8], [1780, 1], [2162, 25], [2199, 56], [2313, 31], [3039, 25], [3215, 66], [3228, 31], [3467, 1], [3919, 1], [4242, 62], [4314, 40], [4336, 53], [4389, 22], [5220, 1], [6059, 51], [6185, 21], [6201, 61], [8505, 7], [9294, 43]]
door [[789, 34], [1804, 40], [1919, 17], [1924, 47], [1948, 53], [2225, 46], [2505, 24], [2531, 39], [2645, 1], [3423, 58], [5021, 52], [5115, 1], [5316, 3], [5316, 29], [5957, 19], [6391, 17], [6811, 39], [6812, 30], [6812, 47], [6814, 1], [6822, 47], [8176, 57], [8825, 1], [8851, 7]]
particular [[414, 44], [867, 25], [1305, 56], [2114, 1], [2622, 16], [3242, 1], [3759, 47], [3775, 47], [3809, 24], [4165, 21], [4365, 45], [5209, 17], [5525, 60], [5645, 9], [5965, 14], [6083, 18], [7458, 33], [7601, 30], [7884, 52], [9067, 1], [9194, 35], [9513, 1], [10242, 57], [10270, 48]]
lives [[385, 47], [1340, 31], [1368, 53], [1398, 34], [4344, 34], [4912, 19], [5786, 46], [5955, 15], [7873, 66], [7874, 38], [8342, 13], [8366, 63], [8372, 7], [8409, 1], [8692, 45], [8702, 7], [8713, 60], [8754, 67], [8763, 54], [8832, 10], [8932, 1], [8941, 1], [9053, 66], [9870, 43]]
rocks [[1720, 41], [2002, 60], [2016, 27], [2018, 1], [2021, 34], [2551, 36], [4036, 33], [4560, 1], [4644, 1], [4644, 14], [4645, 56], [4646, 57], [4673, 34], [4897, 1], [4988, 52], [4991, 1], [5727, 17], [5906, 27], [6114, 53], [6118, 11], [6118, 68], [6123, 69], [6261, 16], [6262, 62]]
months [[2643, 45], [3255, 49], [3468, 41], [3475, 61], [3487, 56], [3526, 5], [3816, 19], [3924, 14], [3943, 46], [4055, 31], [4204, 40], [4363, 50], [4872, 17], [5209, 1], [5551, 64], [5617, 36], [6038, 9], [6065, 47], [7473, 16], [7522, 5], [8043, 1], [8045, 5], [9192, 37], [9287, 13]]
live [[1415, 42], [2077, 14], [2193, 63], [2374, 1], [4076, 57], [5405, 45], [5510, 22], [5818, 68], [5835, 26], [5905, 70], [5933, 11], [6355, 1], [7291, 46], [7301, 56], [7347, 46], [7404, 25], [7407, 61], [7788, 30], [7910, 61], [8007, 53], [8317, 21], [8488, 27], [8511, 28], [8954, 49]]
stock [[1100, 48], [1113, 67], [1119, 29], [1157, 8], [1165, 47], [1256, 49], [1273, 1], [1278, 13], [2026, 52], [2263, 9], [2405, 33], [4095, 21], [4505, 60], [4535, 21], [4868, 69], [5425, 1], [6390, 29], [6640, 39], [6650, 51], [8018, 27], [8362, 56], [9038, 58], [9301, 1], [9334, 63]]
tame [[2030, 58], [2504, 56], [2506, 55], [2552, 30], [3066, 64], [3608, 41], [3679, 18], [3703, 40], [4796, 58], [4825, 55], [4828, 1], [4836, 45], [4838, 29], [4840, 25], [4925, 48], [5068, 44], [5160, 1], [5269, 29], [5516, 3], [5940, 67], [5946, 47], [6060, 27], [7403, 47], [8061, 61]]
distress [[279, 57], [328, 43], [370, 38], [484, 20], [1040, 23], [1342, 9], [1372, 9], [1407, 9], [3017, 44], [3040, 28], [3285, 7], [4309, 36], [4358, 57], [5287, 7], [6095, 14], [6096, 44], [6137, 44], [6707, 62], [7360, 62], [8004, 20], [8153, 4], [8279, 26], [8712, 26], [9253, 52]]
electronic [[9938, 14], [9955, 17], [9962, 14], [9965, 1], [9969, 44], [9971, 22], [9977, 42], [9979, 55], [9982, 14], [9984, 1], [9988, 25], [9996, 16], [10054, 1], [10054, 38], [10076, 48], [10102, 3], [10109, 14], [10121, 1], [10132, 14], [10143, 16], [10171, 42], [10174, 1], [10184, 1], [10262, 38]]
spirits [[455, 27], [1502, 8], [1828, 4], [2702, 12], [2710, 43], [3007, 27], [3151, 53], [3559, 1], [5010, 37], [5294, 15], [5409, 38], [5623, 41], [5791, 1], [5845, 22], [6436, 57], [6521, 20], [6610, 4], [7571, 9], [7812, 12], [7919, 21], [8161, 54], [8645, 17], [8863, 64], [9245, 1]]
boy [[203, 64], [660, 39], [710, 12], [727, 13], [728, 23], [731, 58], [766, 27], [771, 32], [808, 12], [818, 45], [878, 23], [892, 28], [1022, 52], [1023, 55], [1080, 29], [1084, 48], [1125, 17], [1317, 43], [1343, 43], [3531, 63], [4130, 21], [4894, 41], [6190, 21], [8823, 60]]
wreck [[1892, 43], [2338, 60], [2765, 15], [2766, 36], [2771, 38], [2785, 68], [2822, 19], [2830, 18], [2833, 5], [2847, 63], [3772, 51], [4409, 48], [6117, 19], [6198, 1], [6204, 12], [6258, 66], [6332, 43], [6367, 30], [6405, 5], [6485, 52], [6795, 14], [7269, 23], [7282, 66], [7954, 9], [9023, 22]]
thick [[624, 4], [1535, 8], [1982, 30], [2211, 23], [2524, 53], [3806, 44], [4428, 46], [5046, 17], [5074, 68], [5321, 36], [5327, 39], [5344, 33], [5345, 62], [5386, 12], [5815, 61], [5824, 62], [5949, 14], [6507, 43], [7521, 1], [7566, 38], [8058, 66], [8126, 46], [8400, 30], [9415, 5], [9464, 53]]
forward [[431, 51], [436, 19], [710, 36], [821, 33], [1009, 37], [1461, 35], [1468, 18], [1473, 53], [2662, 58], [2926, 44], [3158, 60], [3604, 52], [4077, 11], [4154, 32], [4990, 46], [5245, 44], [5847, 51], [6651, 14], [6653, 6], [7322, 10], [9443, 61], [9633, 1], [9702, 56], [9742, 17], [9766, 18]]
necessary [[1178, 24], [1191, 1], [1562, 1], [1600, 55], [2035, 55], [2190, 60], [2230, 46], [2261, 1], [2422, 12], [3813, 64], [3896, 1], [3926, 1], [3958, 59], [4053, 49], [4781, 63], [4971, 14], [5067, 36], [5548, 37], [5662, 32], [5730, 36], [6213, 24], [7172, 60], [7510, 1], [8974, 38], [9882, 60]]
loaded [[879, 40], [880, 54], [881, 61], [969, 1], [1766, 1], [1778, 68], [1839, 17], [4265, 40], [5581, 31], [5605, 15], [5606, 68], [5607, 62], [5747, 24], [5984, 1], [6027, 26], [6214, 29], [6341, 43], [6906, 1], [7554, 30], [7555, 54], [7556, 57], [7660, 10], [7666, 26], [7670, 62], [9692, 57]]
provisions [[651, 38], [920, 43], [999, 26], [1528, 63], [1594, 27], [1783, 10], [1829, 63], [1957, 16], [1967, 33], [2033, 1], [3524, 29], [4506, 8], [4537, 49], [5025, 56], [5237, 12], [6515, 35], [7527, 63], [7966, 10], [8108, 1], [8385, 45], [8392, 41], [8499, 1], [8503, 51], [8794, 28], [10167, 11]]
castle [[695, 50], [5112, 19], [5236, 19], [5481, 49], [5497, 41], [5614, 29], [5892, 1], [5901, 59], [5948, 45], [5979, 52], [6209, 59], [6305, 21], [6404, 41], [6503, 1], [6579, 56], [6616, 31], [6704, 1], [6792, 44], [6883, 51], [8177, 46], [8244, 67], [8402, 34], [8773, 1], [8800, 67], [8803, 19]]
plain [[444, 26], [527, 29], [1227, 33], [1915, 56], [1916, 51], [1923, 22], [3269, 59], [4853, 3], [5094, 6], [5930, 18], [6758, 16], [7237, 20], [8463, 26], [9446, 1], [9551, 65], [9637, 36], [9644, 7], [9649, 43], [9650, 41], [9658, 53], [9659, 18], [9667, 31], [9705, 65], [10063, 13], [10067, 64]]
low [[106, 22], [156, 5], [641, 39], [818, 58], [1119, 43], [1131, 68], [1586, 16], [1590, 65], [1815, 35], [1857, 28], [1903, 12], [1925, 51], [2339, 18], [2763, 1], [3236, 20], [3615, 63], [4802, 23], [5350, 20], [5825, 4], [5862, 24], [5871, 71], [5949, 61], [6153, 1], [7566, 21], [9035, 60]]
thither [[861, 43], [1064, 16], [3333, 40], [4733, 42], [4941, 8], [5085, 1], [5101, 57], [5900, 53], [5902, 48], [6026, 15], [6463, 52], [6467, 20], [6609, 12], [6619, 57], [7085, 6], [7099, 29], [7100, 43], [7279, 41], [7283, 1], [7977, 29], [8916, 14], [9096, 32], [9226, 34], [9279, 45], [9280, 28]]
terrible [[260, 66], [266, 34], [314, 24], [559, 1], [874, 1], [1336, 8], [1529, 29], [2016, 63], [2403, 40], [2666, 14], [2670, 62], [2696, 1], [2916, 50], [2929, 1], [2935, 49], [3000, 30], [4363, 7], [5155, 15], [5676, 18], [6224, 43], [6540, 26], [7674, 54], [9693, 57], [9756, 30], [9770, 54]]
heavy [[1418, 13], [1530, 64], [1774, 18], [1797, 57], [1808, 45], [1839, 42], [2142, 53], [2146, 39], [2333, 52], [2421, 8], [2429, 18], [2752, 16], [2760, 20], [2835, 25], [2852, 43], [3055, 40], [3673, 13], [3912, 1], [3937, 10], [4038, 22], [4045, 37], [6683, 11], [8237, 17], [9511, 41], [9576, 11]]
creek [[762, 46], [829, 22], [1666, 35], [1692, 59], [3263, 38], [4221, 1], [4509, 53], [4546, 39], [4694, 24], [6233, 53], [6616, 42], [6622, 61], [6627, 40], [7514, 33], [7565, 67], [7582, 31], [7846, 10], [7849, 68], [8172, 22], [8594, 61], [8607, 61], [8611, 1], [8616, 5], [8641, 16], [8849, 8]]
soul [[136, 1], [1496, 48], [1509, 69], [2188, 11], [2682, 19], [2935, 36], [2946, 67], [2975, 20], [3020, 43], [3105, 10], [3214, 51], [3721, 35], [3733, 28], [3770, 22], [5411, 36], [5471, 17], [5753, 24], [6161, 47], [6163, 12], [6172, 5], [7170, 8], [7183, 46], [7207, 46], [7211, 18], [7619, 42]]
room [[268, 33], [636, 66], [638, 64], [641, 58], [1218, 15], [1495, 12], [1595, 58], [1633, 20], [2220, 47], [2228, 4], [2415, 1], [2458, 52], [2460, 8], [2650, 46], [3977, 43], [4281, 40], [4862, 1], [5062, 12], [5100, 14], [5340, 57], [5350, 53], [6044, 54], [6156, 5], [6273, 13], [6286, 67], [8820, 6]]
whence [[70, 47], [473, 44], [989, 63], [1328, 36], [1335, 54], [2018, 40], [3065, 55], [3067, 20], [3538, 1], [3684, 18], [6043, 16], [6183, 41], [6244, 25], [6374, 37], [6461, 20], [7051, 6], [7283, 20], [7309, 43], [7653, 20], [7707, 56], [8148, 48], [8169, 14], [8370, 1], [8953, 14], [9366, 16], [9892, 44]]
moment [[359, 17], [399, 63], [665, 6], [1375, 44], [1389, 36], [1438, 19], [1501, 11], [3750, 21], [3757, 11], [5109, 29], [5466, 9], [5925, 45], [6091, 26], [6600, 14], [7136, 41], [7636, 17], [7646, 17], [7957, 38], [8196, 57], [8199, 66], [8356, 1], [8684, 41], [9355, 27], [9543, 1], [9673, 1], [9741, 66]]
surprise [[711, 64], [1501, 48], [3902, 31], [4652, 58], [4713, 18], [4890, 21], [5192, 1], [5289, 42], [5577, 21], [5749, 13], [5842, 64], [5857, 29], [5902, 11], [6043, 1], [6086, 34], [7312, 19], [7674, 12], [7698, 20], [8418, 1], [8522, 1], [8530, 49], [8752, 49], [8851, 57], [8856, 31], [8861, 34], [9239, 52]]
foundation [[2590, 59], [6402, 39], [6862, 36], [7072, 63], [7421, 1], [9934, 8], [9987, 1], [10009, 38], [10084, 30], [10088, 30], [10090, 20], [10111, 50], [10113, 24], [10130, 28], [10170, 47], [10193, 28], [10196, 9], [10201, 9], [10203, 40], [10206, 22], [10208, 9], [10211, 5], [10216, 46], [10226, 18], [10236, 5], [10278, 9]]
why [[267, 46], [807, 13], [807, 30], [2049, 60], [2060, 32], [2061, 1], [2888, 64], [2980, 36], [3084, 1], [3088, 34], [3089, 13], [3749, 25], [3809, 55], [4433, 20], [5228, 15], [6076, 32], [6462, 44], [6849, 20], [7003, 15], [7080, 68], [7146, 33], [7157, 22], [7188, 7], [8162, 70], [8926, 57], [9609, 38]]
entirely [[179, 1], [279, 1], [288, 10], [1076, 54], [1577, 54], [1988, 63], [2051, 43], [2141, 25], [2455, 53], [2947, 52], [3046, 15], [3256, 49], [4487, 48], [5071, 35], [5138, 38], [5203, 58], [5298, 41], [5489, 1], [5491, 13], [5599, 15], [5633, 1], [5689, 21], [6564, 62], [7337, 42], [8095, 1], [9819, 55]]
others [[358, 10], [970, 1], [1145, 63], [1639, 42], [3558, 1], [3864, 13], [4278, 1], [4457, 36], [4818, 5], [5420, 1], [5532, 40], [6104, 37], [6154, 27], [6509, 21], [6597, 56], [6624, 46], [6854, 65], [8600, 63], [8655, 13], [8742, 16], [8745, 17], [8922, 37], [9674, 48], [9683, 36], [9742, 5], [10001, 34]]
cargo [[1100, 27], [1193, 11], [1203, 67], [1310, 1], [1318, 16], [1662, 58], [1667, 46], [1676, 62], [1695, 39], [1699, 1], [1707, 29], [1739, 13], [1796, 22], [1843, 44], [1845, 1], [2118, 66], [2125, 65], [4209, 23], [4356, 65], [6214, 43], [6215, 33], [6300, 61], [6305, 68], [9052, 42], [9345, 41], [9896, 60]]
fellow [[285, 49], [607, 48], [1243, 38], [5455, 1], [5524, 43], [6164, 39], [6167, 1], [6186, 1], [6514, 24], [6627, 53], [6644, 1], [6713, 27], [6980, 30], [7372, 60], [7541, 25], [7543, 34], [7717, 14], [7802, 10], [7840, 15], [8618, 5], [9472, 26], [9539, 28], [9597, 34], [9655, 20], [9857, 1], [9858, 1]]
pretty [[513, 41], [630, 6], [868, 48], [1653, 50], [1696, 13], [2223, 31], [2382, 15], [3949, 25], [3989, 39], [4076, 30], [4585, 57], [4630, 36], [4976, 26], [5339, 64], [5827, 16], [5944, 23], [5965, 67], [6359, 21], [6975, 22], [7255, 48], [7463, 49], [7845, 28], [7893, 13], [8131, 1], [9548, 15], [9552, 1]]
consider [[669, 1], [1091, 62], [1531, 10], [1536, 40], [1751, 16], [2046, 23], [2157, 16], [2419, 10], [2717, 26], [3356, 64], [4300, 23], [4332, 34], [4380, 1], [4444, 29], [4794, 1], [4860, 19], [5312, 39], [5637, 50], [6051, 29], [6466, 39], [6807, 66], [6963, 16], [8149, 66], [8405, 17], [8564, 49], [9269, 14]]
canoes [[740, 62], [818, 1], [4045, 1], [5146, 1], [5440, 63], [5443, 21], [6003, 14], [6028, 16], [6064, 15], [6503, 34], [6557, 38], [6574, 26], [6757, 67], [7038, 31], [7039, 25], [7065, 43], [7430, 43], [7538, 1], [7561, 52], [7744, 63], [7747, 34], [7748, 67], [7896, 1], [7940, 36], [8099, 43], [9907, 56]]
eyes [[398, 64], [429, 64], [869, 64], [1578, 67], [2602, 61], [3024, 4], [3767, 58], [4723, 55], [5281, 5], [5431, 56], [5471, 56], [5511, 66], [5784, 66], [5830, 62], [6414, 57], [6437, 67], [6720, 47], [7092, 32], [7183, 25], [7316, 15], [7414, 8], [7653, 68], [8128, 42], [8845, 45], [9657, 5], [9769, 14]]
living [[124, 31], [127, 42], [139, 11], [920, 14], [2039, 52], [2205, 60], [2716, 64], [2988, 1], [3226, 1], [3230, 66], [3428, 29], [3942, 24], [4375, 1], [4973, 42], [5069, 12], [5182, 45], [5351, 66], [5424, 63], [5530, 64], [5699, 21], [5922, 51], [6200, 42], [8070, 43], [8970, 37], [9078, 58], [9311, 21]]
goat [[2024, 61], [2355, 62], [2567, 31], [2902, 44], [3414, 10], [3429, 45], [3644, 53], [4323, 44], [4551, 8], [4784, 54], [4797, 26], [4798, 31], [4804, 29], [4817, 53], [4893, 59], [4955, 45], [5522, 21], [5849, 51], [5909, 37], [5926, 29], [6447, 17], [6888, 36], [7884, 10], [7884, 36], [8255, 1], [9019, 7]]
running [[334, 64], [406, 52], [820, 1], [1686, 62], [3266, 10], [3676, 1], [4012, 1], [4654, 58], [4668, 54], [4950, 10], [5752, 1], [6131, 49], [6507, 20], [6612, 36], [6708, 15], [6730, 65], [7409, 1], [7533, 56], [7669, 60], [7677, 41], [7721, 19], [7748, 43], [8123, 17], [8283, 26], [8936, 56], [9843, 6], [9851, 65]]
looking [[260, 11], [439, 44], [1320, 28], [1354, 36], [1388, 51], [2204, 6], [2279, 23], [2281, 20], [2766, 16], [2945, 29], [2970, 13], [3063, 1], [3357, 32], [4990, 38], [5105, 31], [5427, 42], [5829, 48], [6028, 62], [6058, 28], [6593, 18], [6636, 66], [6691, 32], [6905, 29], [8283, 64], [9095, 66], [9613, 13], [9709, 1]]
tools [[1190, 37], [1640, 22], [1661, 45], [2074, 13], [2140, 14], [2240, 29], [2241, 14], [2241, 43], [2256, 54], [2419, 61], [2454, 7], [2741, 60], [2745, 46], [3792, 61], [3795, 68], [3811, 20], [4033, 1], [4058, 4], [4161, 14], [4168, 25], [4170, 34], [4315, 12], [4766, 1], [7439, 31], [7965, 60], [8038, 8], [9883, 58]]
xury [[728, 45], [767, 41], [769, 50], [770, 30], [780, 1], [783, 52], [784, 53], [805, 23], [810, 1], [811, 49], [825, 35], [869, 52], [876, 45], [891, 17], [899, 26], [901, 47], [907, 14], [907, 52], [936, 36], [940, 27], [969, 54], [1005, 35], [1022, 7], [1080, 33], [1085, 63], [1125, 21], [4130, 25]]
has [[230, 35], [447, 63], [448, 61], [1144, 34], [1147, 62], [1160, 26], [1381, 32], [1498, 36], [1499, 42], [3030, 48], [3069, 49], [3070, 35], [3078, 17], [3084, 5], [4303, 54], [4304, 46], [4421, 22], [5771, 35], [6433, 22], [6838, 32], [6842, 28], [6849, 27], [8121, 51], [9512, 60], [9527, 23], [10082, 62], [10273, 41]]
mean [[115, 23], [125, 55], [1204, 51], [1206, 32], [2085, 26], [2449, 23], [2935, 69], [3500, 66], [4020, 25], [4054, 6], [4416, 62], [4455, 11], [4523, 10], [4691, 63], [5497, 1], [5699, 56], [5703, 1], [6375, 27], [6383, 21], [6455, 55], [6603, 15], [6846, 34], [7171, 17], [7236, 67], [7587, 31], [8356, 34], [9356, 17]]
certainly [[184, 23], [430, 1], [565, 1], [1302, 29], [2720, 17], [2724, 37], [3022, 56], [3072, 33], [3149, 34], [3211, 50], [3598, 38], [3993, 22], [4311, 25], [5157, 8], [5654, 1], [5790, 25], [5854, 1], [6155, 6], [6513, 53], [6607, 25], [7328, 55], [8300, 11], [8421, 1], [8574, 7], [8711, 54], [8965, 30], [9630, 37]]
filled [[84, 13], [693, 1], [830, 59], [1002, 37], [1005, 67], [1595, 67], [1624, 22], [2572, 18], [2680, 1], [2925, 33], [3050, 8], [3375, 57], [5023, 14], [5210, 55], [5259, 14], [5261, 36], [5591, 32], [6034, 18], [6129, 20], [6310, 43], [6365, 17], [7487, 41], [7568, 13], [7621, 52], [8069, 15], [9627, 21], [9720, 21]]
directly [[91, 36], [241, 46], [735, 64], [745, 9], [965, 1], [971, 1], [989, 32], [1129, 19], [1187, 48], [1351, 49], [1694, 55], [4440, 26], [4657, 59], [4669, 63], [4676, 46], [4987, 40], [5832, 45], [5979, 37], [6258, 49], [6602, 63], [7233, 48], [7671, 23], [8275, 31], [9444, 6], [9472, 39], [9669, 34], [10175, 34]]
noise [[795, 30], [890, 46], [978, 5], [988, 61], [2671, 1], [2678, 33], [5801, 64], [5841, 22], [6085, 37], [6583, 15], [6650, 19], [6816, 40], [7699, 21], [7916, 37], [8270, 37], [8354, 6], [8671, 62], [8840, 10], [9482, 41], [9483, 64], [9495, 35], [9625, 53], [9682, 28], [9693, 66], [9698, 28], [9708, 54], [9732, 4]]
tobacco [[1122, 37], [1197, 60], [1211, 63], [1528, 1], [1528, 28], [1539, 66], [3100, 7], [3101, 1], [3106, 5], [3109, 27], [3110, 8], [3114, 1], [3120, 29], [3133, 40], [3140, 1], [3140, 46], [3161, 16], [3272, 25], [3562, 42], [4287, 4], [4773, 45], [4778, 20], [6194, 43], [8886, 1], [9139, 6], [9145, 1], [9230, 62]]
cannot [[320, 65], [786, 53], [1508, 40], [3016, 1], [3686, 3], [3971, 45], [4301, 57], [4303, 20], [4330, 39], [4501, 3], [5115, 9], [5210, 1], [5786, 1], [5790, 1], [5964, 59], [6160, 34], [6558, 59], [7228, 1], [7248, 49], [8145, 3], [8147, 37], [8148, 31], [8161, 66], [10126, 1], [10228, 39], [10245, 10], [10250, 57]]
prisoners [[580, 13], [5443, 59], [5656, 60], [6525, 57], [6776, 55], [6780, 29], [7388, 23], [7561, 31], [7617, 52], [7881, 47], [8100, 63], [8183, 20], [8197, 7], [8493, 30], [8508, 11], [8674, 32], [8714, 38], [8740, 29], [8772, 56], [8777, 54], [8781, 42], [8786, 22], [8820, 46], [8901, 10], [8936, 9], [8947, 41], [9879, 54]]
guide [[475, 52], [1842, 41], [3072, 57], [4151, 12], [4180, 33], [5629, 68], [6245, 37], [7164, 18], [7172, 5], [7182, 1], [7245, 14], [9424, 41], [9428, 50], [9442, 49], [9460, 1], [9462, 47], [9465, 24], [9499, 46], [9530, 33], [9624, 1], [9632, 24], [9642, 45], [9654, 44], [9776, 22], [9778, 23], [9783, 28], [9817, 14]]
ordered [[310, 63], [370, 1], [602, 1], [635, 50], [652, 1], [660, 10], [1068, 21], [3593, 56], [4312, 25], [7883, 50], [7895, 41], [7897, 67], [7899, 48], [8251, 58], [8594, 1], [8657, 23], [8733, 1], [8745, 26], [8780, 27], [8798, 45], [8821, 43], [8834, 51], [9011, 36], [9242, 59], [9673, 57], [9689, 25], [9735, 22], [9757, 9]]
sand [[1375, 29], [1396, 29], [1425, 37], [1557, 1], [1589, 57], [1636, 1], [2323, 10], [2780, 40], [2783, 46], [2796, 16], [2803, 40], [2825, 11], [2828, 49], [2859, 24], [4005, 57], [4012, 16], [4039, 17], [4136, 68], [4149, 65], [4561, 38], [4907, 45], [5094, 30], [5137, 27], [6425, 59], [6698, 11], [6700, 48], [7618, 28], [8237, 69]]
state [[105, 44], [107, 14], [111, 32], [112, 5], [481, 9], [636, 60], [1237, 1], [2158, 35], [3720, 10], [3746, 63], [3759, 58], [3899, 31], [4295, 22], [4619, 49], [5190, 20], [6422, 5], [7219, 16], [7601, 1], [8706, 16], [9061, 8], [9271, 51], [9842, 34], [10005, 15], [10163, 25], [10165, 40], [10205, 1], [10209, 28], [10243, 1]]
themselves [[103, 25], [126, 59], [315, 54], [352, 32], [777, 9], [777, 48], [966, 22], [1632, 26], [3458, 57], [5672, 61], [6127, 27], [6130, 42], [6861, 14], [7297, 51], [7961, 1], [8029, 30], [8108, 57], [8219, 29], [8343, 34], [8350, 17], [8498, 11], [8610, 1], [8630, 59], [8650, 6], [8977, 6], [9376, 64], [9432, 16], [9897, 34]]
obliged [[294, 32], [341, 65], [369, 12], [579, 44], [803, 30], [866, 21], [921, 65], [2564, 63], [2804, 55], [3525, 1], [3670, 13], [4472, 58], [4513, 20], [4562, 15], [4928, 1], [4991, 38], [5872, 13], [5936, 24], [6134, 59], [6647, 10], [6827, 53], [8372, 51], [9148, 1], [9397, 41], [9440, 31], [9773, 1], [9778, 1], [9873, 16]]
heaven [[226, 57], [447, 56], [459, 19], [590, 56], [1146, 12], [2046, 57], [2621, 38], [2991, 53], [3104, 21], [3199, 14], [5181, 62], [5185, 15], [5633, 23], [5639, 51], [5716, 24], [5766, 34], [6491, 1], [7089, 21], [7095, 26], [7169, 52], [7186, 26], [7205, 26], [7245, 23], [8275, 45], [8277, 65], [8867, 13], [8872, 53], [9255, 56]]
impossible [[383, 49], [431, 1], [793, 11], [977, 7], [1449, 19], [1495, 43], [2557, 33], [2589, 7], [2922, 25], [2929, 21], [3127, 12], [3369, 55], [3563, 1], [3864, 28], [4148, 57], [4157, 25], [4793, 14], [5219, 46], [5549, 13], [5601, 44], [6417, 7], [6528, 1], [7860, 46], [7921, 59], [8051, 5], [8554, 16], [8640, 1], [9234, 23]]
eight [[295, 67], [568, 67], [579, 21], [1078, 11], [1080, 11], [1100, 11], [1312, 20], [1863, 1], [2531, 14], [2667, 16], [2942, 5], [3502, 27], [5891, 41], [6194, 31], [6319, 43], [6336, 11], [8102, 27], [8109, 59], [8120, 21], [8672, 63], [8704, 35], [9129, 28], [9211, 69], [9230, 39], [9326, 18], [9827, 66], [9832, 25], [9832, 49]]
